Date,Page Path,Page Title,Sessions,Unique Users,Views,Avg. Time on Page,Entrances,Bounce Rate,Exit Rate
2025-03-09,/,Homepage,345,298,445,00:01:22,210,46.2%,32.4%
2025-03-09,/inventory,Inventory Search,298,238,385,00:02:12,108,32.4%,18.7%
2025-03-09,/new-vehicles,New Vehicles,162,145,215,00:01:32,72,39.2%,27.0%
2025-03-09,/used-vehicles,Used Vehicles,152,136,204,00:01:48,65,36.9%,29.4%
2025-03-09,/finance,Finance Center,92,86,110,00:00:55,22,54.5%,44.5%
2025-03-09,/service,Service Center,118,108,145,00:01:08,48,45.8%,41.4%
2025-03-09,/specials,Current Specials,108,102,140,00:01:02,32,37.5%,27.9%
2025-03-09,/contact,Contact Us,75,72,84,00:00:48,6,25.0%,73.8%
2025-03-09,/about,About Us,58,56,68,00:00:58,4,33.3%,45.6%
2025-03-09,/vehicle/bmw-330i-a12360,BMW 330i Stock #A12360,36,34,48,00:03:02,18,22.2%,29.2%
2025-03-10,/,Homepage,472,402,622,00:01:40,285,42.4%,28.3%
2025-03-10,/inventory,Inventory Search,402,327,525,00:02:42,142,28.9%,15.6%
2025-03-10,/new-vehicles,New Vehicles,220,192,296,00:01:55,98,34.7%,22.6%
2025-03-10,/used-vehicles,Used Vehicles,196,175,265,00:02:10,85,31.8%,24.5%
2025-03-10,/finance,Finance Center,122,114,145,00:01:08,32,46.9%,38.6%
2025-03-10,/service,Service Center,155,142,190,00:01:28,64,40.6%,36.3%
2025-03-10,/specials,Current Specials,142,131,185,00:01:15,45,30.2%,23.8%
2025-03-10,/contact,Contact Us,95,90,108,00:00:55,11,18.2%,67.6%
2025-03-10,/about,About Us,76,73,88,00:01:12,8,23.8%,38.6%
2025-03-10,/vehicle/toyota-highlander-a12362,Toyota Highlander Stock #A12362,48,45,64,00:03:35,26,19.2%,26.6%
